"run.id"	"event.filenames"	"event.numbers"	"event.livetimes"	"event.trigger.times"	"anode.Nips"	"anode.Nips.left"	"anode.Nips.right"	"anode.hits"	"anode.hits.left"	"anode.hits.right"	"anode.contiguous.wires.left"	"anode.contiguous.wires.right"	"anode.min.risetime"	"anode.max.PH.max"	"anode.min.PH.min"	"anode.line.with.max.PH.max"	"anode.line.with.min.PH.min"	"all.Nips"	"delta.x"	"delta.x.left"	"delta.x.right"	"delta.Nips"	"delta.e"	"side.to.analyse"	"anode.mp.ratio"	"mainline.tmin"	"mainline.tmax"	"mainline.t.main.start"	"mainline.max.i"	"mainline.cumsum.max"	"mainline.cumsum.max.i"	"anode.tmax.total"	"anode.tmax.total.left"	"anode.tmax.total.right"	"anode.tmin.total"	"anode.tmin.total.left"	"anode.tmin.total.right"	"grid.Nips"	"grid.Nips.left"	"grid.Nips.right"	"grid.PH.ratio"	"veto.Nips"	"veto.Nips.left"	"veto.Nips.right"	"anode.grid.nips.ratio"	"event.filenames.1"	"event.numbers.1"	"peak.diff1"	"peak.diff2"	"z"	"low.z"	"z.e"	"nips"	"run.id.1"	"method"	"area1"	"area2"	"area3"	"sigma1"	"sigma2"	"sigma3"	"PH.prt.ratio"	"sigma.major"	"sigma.minor"	"area.major"	"area.minor"	"ok"	"fail"
1	"drift2d-20141209-01-0003-neut"	2	0.206619	1418128639.72809	3944.8040805903	3944.8040805903	0	2	2	0	2	0	12	52.356197	0	6	1	4006.28075466261	-0.6	-0.6	-1	52.356197	NA	0	0.545462	2885	3295	3189	3218	5611.628418	3320	3295	3295	2300	2885	2885	3700	1544.30721497185	1544.30721497185	0	1.32661574863673	0	0	0	2.55441666162402	1	2	112.244191479314	103.667528586036	26.3750080215322	38.1385186336	0.112126780988978	4006.28075466261	1	3	1325.34192796526	1436.76371993666	2673.85369036639	32.6452033070588	23.1698416732261	20.1604371037691	0.137779465789474	20.1604371037691	23.1698416732261	2673.85369036639	1436.76371993666	TRUE	0
1	"drift2d-20141209-01-0003-neut"	21	0.073243	1418128643.22649	2232.82084873826	2232.82084873826	0	8	8	0	8	0	3	36.598381	0	5	9	2286.16516346149	0.6	0.6	-1	36.598381	NA	0	0.030012	2978	3043	2992	3001	699.769226	3126	3059	3059	2300	2978	2978	3700	2485.05827516115	2485.05827516115	0	1.10732871551633	0	0	0	0.898498385754542	1	21	46.3224750353727	603.082032227721	79.3289455667303	20.5747271576	0.0942623723801005	2286.16516346149	1	2	-35.5957879150848	24.796030489825	828.113190546221	-2.67787168777612	1.95766244443592	12.3768328705681	0.178528687804878	12.3768328705681	-2.67787168777612	828.113190546221	-35.5957879150848	TRUE	0
1	"drift2d-20141209-01-0003-neut"	36	0.305289	1418128645.72325	177.008050910405	177.008050910405	0	1	1	0	1	0	6	17.303459	0	6	1	256.947497476914	-0.8	-0.8	-1	17.303459	NA	0	0.020635	2974	3017	2981	2995	484.914459	3117	3017	3017	2300	2974	2974	3700	0	0	0	1.4794533275887	0	0	0	Inf	1	36	305.839074921513	41.7930012462707	5.10528443189959	10.036452272	0.0761758553317984	256.947497476914	1	2	47.8941553326843	-35.0699327099914	331.929984385633	3.89643171187321	-2.81745575208743	7.99828701962394	0.17303459	7.99828701962394	-2.81745575208743	331.929984385633	-35.0699327099914	TRUE	0
1	"drift2d-20141209-01-0003-neut"	40	0.183842	1418128646.2226	24.7852692423826	0	24.7852692423826	1	0	1	0	1	3	29.978277	0	10	1	466.599053581464	-0.8	-1	-0.8	29.978277	NA	1	0.00122	2989	3038	2990	2997	950.901184	3179	3038	2300	3038	2989	3700	2989	506.190317075163	0	506.190317075163	1.63049322984629	0	0	0	0.0489643290404987	1	40	110.407703111921	269.682929590884	46.4305202302659	20.072904544	0.0667383382653526	466.599053581464	1	2	37.9588104246122	30.1104667030084	791.342252198345	2.73980785187297	2.55991081415075	11.2636361304939	0.149891385	11.2636361304939	2.73980785187297	791.342252198345	37.9588104246122	TRUE	0
1	"drift2d-20141209-01-0003-neut"	42	0.444899	1418128646.71875	1845.00332910186	1845.00332910186	0	2	2	0	2	0	6	30.899433	0	2	1	1671.51182757799	-0.6	-0.6	-1	30.899433	NA	0	0.321482	2838	3079	3012	3026	1634.719727	3093	3079	3079	2300	2656	2656	3700	1184.45594297012	1184.45594297012	0	1.25896587600528	0	0	0	1.55767999650148	1	42	151.497859339515	163.161878315102	38.4377147390694	26.0947759072	0.275960084375678	1671.51182757799	1	3	391.183022063226	396.848107652153	1146.5354263382	31.4309174902381	19.2110149886107	16.1294433482037	0.118843973076923	16.1294433482037	19.2110149886107	1146.5354263382	396.848107652153	TRUE	0
1	"drift2d-20141209-01-0003-neut"	59	0.052504	1418128648.72275	304.942982237998	0	304.942982237998	2	0	2	0	2	3	31.585413	0	10	1	1409.06791644163	-0.6	-1	-0.6	31.585413	NA	1	0.034695	2978	3081	2990	2996	1575.663208	3695	3081	2300	3081	2978	3700	2978	557.02805116949	0	557.02805116949	1.11575525115116	0	0	0	0.547446365758	1	59	125.42958451618	20.8492314107668	0	24.5893080664	0.214616348672106	1409.06791644163	1	2	95.906540343384	317.36783796098	396.773425267671	32.2609607645873	4.60525263734012	17.2752602987199	0.128920053061224	4.60525263734012	17.2752602987199	317.36783796098	396.773425267671	TRUE	0
1	"drift2d-20141209-01-0003-neut"	60	0.072787	1418128648.72475	1502.31281096018	1502.31281096018	0	2	2	0	2	0	6	25.079205	0	8	2	2169.14131113	-0.6	-0.6	-1	25.079205	NA	0	0.549356	2684	3119	2983	3006	2750.140381	3699	3119	3119	2300	2684	2684	3700	659.491625080432	659.491625080432	0	1.19011737658897	0	0	0	2.27798618485406	1	60	137.973024669484	122.780062711997	31.8526700136717	49.6804387464	0.133940218469518	2169.14131113	1	3	540.598479060088	565.927660418386	1014.18371772812	26.5824578654508	27.7237680665307	17.1424086297648	0.0506650606060606	17.1424086297648	27.7237680665307	1014.18371772812	565.927660418386	TRUE	0
1	"drift2d-20141209-01-0003-neut"	67	0.049078	1418128649.71804	2101.7261671611	2101.7261671611	0	2	2	0	2	0	11	36.576725	0	8	2	2442.53156769459	-0.6	-0.6	-1	36.576725	NA	0	0.512637	2693	3068	2984	3006	2768.86377	3175	3068	3068	2300	2693	2693	3700	954.532509575018	954.532509575018	0	1.47363397913274	0	0	0	2.20183822560098	1	67	124.351204242278	120.936067976182	29.9634210240349	30.109356816	0.141136251381615	2442.53156769459	1	3	591.631692811603	638.553306282981	1310.05936897698	29.4367035420554	20.8618426045654	15.9832695395506	0.121922416666667	15.9832695395506	20.8618426045654	1310.05936897698	638.553306282981	TRUE	0
1	"drift2d-20141209-01-0003-neut"	94	0.091397	1418128654.70917	1012.88117011849	1012.88117011849	0	1	1	0	1	0	8	26.548479	0	4	1	910.130676453844	-0.8	-0.8	-1	26.548479	NA	0	0.517699	2803	3060	2982	3001	1717.609741	3179	3060	3060	2300	2803	2803	3700	494.975370656143	494.975370656143	0	1.35606118722522	0	0	0	2.04632640362652	1	94	69.0711881424281	65.8148463515196	16.4771983692861	28.6038889752	0.159094468205697	910.130676453844	1	3	370.430906450637	497.038694256709	946.276442066546	23.8185092336969	11.9705119810962	16.0019361538163	0.0931525578947368	16.0019361538163	11.9705119810962	946.276442066546	497.038694256709	TRUE	0
1	"drift2d-20141209-01-0003-neut"	105	0.288708	1418128656.21557	1811.53422344372	0	1811.53422344372	4	0	4	0	6	3	24.211676	0	13	1	2549.28000096444	0.2	-1	0.2	24.211676	NA	1	0.042502	2969	3095	2988	2995	1553.498779	3195	3095	2300	3095	2969	3700	2969	720.732689702675	0	720.732689702675	1.08303301743659	0	0	0	2.51346199405918	1	105	349.573582407354	245.110085841928	72.6444424397234	31.6148246568	0.100349319989959	2549.28000096444	1	2	35.9829201911128	449.149951300236	667.126392594794	2.52735059310779	97	18.0437742972264	0.0768624634920635	18.0437742972264	2.52735059310779	667.126392594794	35.9829201911128	TRUE	0
